title,examples,benefit,icon,diet_type,region,risk,priority,weight_g,calories,protein_g,fiber_g,gi_index
Ragi Dosa (267g),Ragi Dosa | Ragi Dosa variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🥗,Non-Vegetarian,East,Moderate,5,267,295,2.0,0.9,63
Chicken Tikka (288g),Chicken Tikka | Chicken Tikka variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍗,Non-Vegetarian,East,Moderate,4,288,370,3.2,0.7,55
Poha with Veggies (187g),Poha with Veggies | Poha with Veggies variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🫓,Vegetarian,East,Low,1,187,206,1.5,0.7,59
Grilled Chicken Salad (255g),Grilled Chicken Salad | Grilled Chicken Salad variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🫓,Vegetarian,South,High,3,255,276,2.6,0.8,36
Lauki Curry with Brown Rice (135g),Lauki Curry with Brown Rice | Lauki Curry with Brown Rice variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍲,Non-Vegetarian,West,High,4,135,143,0.8,0.4,61
Chicken Tikka (122g),Chicken Tikka | Chicken Tikka variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🌱,Non-Vegetarian,East,Moderate,1,122,180,1.4,0.3,35
Ragi Dosa (129g),Ragi Dosa | Ragi Dosa variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🥣,Vegetarian,West,High,2,129,159,1.2,0.3,65
Masoor Dal with Red Rice (247g),Masoor Dal with Red Rice | Masoor Dal with Red Rice variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🫓,Vegetarian,South,Low,3,247,299,2.7,1.0,42
Sprouts Salad (271g),Sprouts Salad | Sprouts Salad variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🥣,Non-Vegetarian,East,High,1,271,383,1.8,0.8,50
Mixed Veg Sabzi with Chapati (294g),Mixed Veg Sabzi with Chapati | Mixed Veg Sabzi with Chapati variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🦐,Vegetarian,South,High,1,294,437,2.5,1.1,58
Mutton Soup (326g),Mutton Soup | Mutton Soup variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🦐,Vegetarian,North,Low,4,326,408,3.4,0.8,47
Oats Upma (217g),Oats Upma | Oats Upma variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🦐,Vegetarian,North,Low,2,217,302,1.8,0.8,38
Jowar Roti with Bhindi (239g),Jowar Roti with Bhindi | Jowar Roti with Bhindi variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🥣,Vegetarian,East,High,1,239,342,2.6,0.7,43
Masoor Dal with Red Rice (342g),Masoor Dal with Red Rice | Masoor Dal with Red Rice variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🥗,Vegetarian,South,High,2,342,425,2.0,0.7,53
Bajra Roti (266g),Bajra Roti | Bajra Roti variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍲,Vegetarian,North,Low,2,266,343,2.9,0.6,35
Chicken Stew with Appam (307g),Chicken Stew with Appam | Chicken Stew with Appam variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🫓,Vegetarian,West,Low,1,307,421,3.2,1.0,44
Egg Curry with Roti (124g),Egg Curry with Roti | Egg Curry with Roti variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🥗,Vegetarian,North,High,3,124,142,1.3,0.3,40
Bajra Roti (312g),Bajra Roti | Bajra Roti variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍲,Vegetarian,South,Moderate,2,312,416,2.0,1.2,48
Ragi Dosa (347g),Ragi Dosa | Ragi Dosa variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🐟,Vegetarian,West,Moderate,2,347,498,2.9,1.3,35
Masoor Dal with Red Rice (261g),Masoor Dal with Red Rice | Masoor Dal with Red Rice variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🦐,Vegetarian,South,Low,1,261,289,2.0,0.9,51
Grilled Chicken Salad (112g),Grilled Chicken Salad | Grilled Chicken Salad variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🌱,Non-Vegetarian,North,Moderate,1,112,123,0.7,0.4,47
Jowar Roti with Bhindi (284g),Jowar Roti with Bhindi | Jowar Roti with Bhindi variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🥣,Vegetarian,East,Low,3,284,406,3.1,0.9,62
Oats Upma (235g),Oats Upma | Oats Upma variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🥗,Vegetarian,North,Moderate,2,235,251,1.6,0.9,56
Grilled Fish with Veggies (120g),Grilled Fish with Veggies | Grilled Fish with Veggies variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍗,Vegetarian,South,Moderate,2,120,152,0.8,0.4,59
Lauki Curry with Brown Rice (129g),Lauki Curry with Brown Rice | Lauki Curry with Brown Rice variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🫓,Non-Vegetarian,South,High,4,129,145,1.5,0.3,46
Lauki Curry with Brown Rice (139g),Lauki Curry with Brown Rice | Lauki Curry with Brown Rice variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🥣,Vegetarian,East,Moderate,5,139,185,1.1,0.4,46
Grilled Fish with Veggies (349g),Grilled Fish with Veggies | Grilled Fish with Veggies variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🫓,Vegetarian,North,High,5,349,352,3.5,1.4,38
Grilled Chicken Salad (167g),Grilled Chicken Salad | Grilled Chicken Salad variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🥗,Non-Vegetarian,West,Low,5,167,243,1.4,0.4,37
Lauki Curry with Brown Rice (142g),Lauki Curry with Brown Rice | Lauki Curry with Brown Rice variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍲,Vegetarian,North,High,1,142,185,1.7,0.4,63
Ragi Dosa (188g),Ragi Dosa | Ragi Dosa variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍚,Non-Vegetarian,South,Low,5,188,223,1.1,0.5,64
Masoor Dal with Red Rice (297g),Masoor Dal with Red Rice | Masoor Dal with Red Rice variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🐟,Vegetarian,West,Moderate,3,297,313,2.9,1.1,61
Brown Rice with Sambar (192g),Brown Rice with Sambar | Brown Rice with Sambar variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍚,Non-Vegetarian,South,Low,4,192,247,1.0,0.8,40
Brown Rice with Sambar (261g),Brown Rice with Sambar | Brown Rice with Sambar variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍚,Vegetarian,North,High,2,261,343,1.9,0.9,49
Jowar Roti with Bhindi (317g),Jowar Roti with Bhindi | Jowar Roti with Bhindi variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍚,Vegetarian,West,Moderate,5,317,352,3.2,0.9,53
Mixed Veg Sabzi with Chapati (186g),Mixed Veg Sabzi with Chapati | Mixed Veg Sabzi with Chapati variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🦐,Vegetarian,North,Low,4,186,271,1.0,0.5,55
Moong Dal Khichdi (144g),Moong Dal Khichdi | Moong Dal Khichdi variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🐟,Vegetarian,West,Low,4,144,170,1.4,0.4,47
Lauki Curry with Brown Rice (290g),Lauki Curry with Brown Rice | Lauki Curry with Brown Rice variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍛,Non-Vegetarian,East,Moderate,4,290,322,2.6,1.0,62
Sprouts Salad (144g),Sprouts Salad | Sprouts Salad variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🫓,Vegetarian,West,Moderate,5,144,213,1.7,0.5,56
Poha with Veggies (288g),Poha with Veggies | Poha with Veggies variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🥗,Vegetarian,South,Moderate,2,288,350,2.2,0.9,37
Grilled Fish with Veggies (105g),Grilled Fish with Veggies | Grilled Fish with Veggies variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🫓,Vegetarian,East,Moderate,1,105,106,0.8,0.3,36
Ragi Dosa (332g),Ragi Dosa | Ragi Dosa variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🐟,Vegetarian,West,High,3,332,409,3.3,1.3,35
Lauki Curry with Brown Rice (322g),Lauki Curry with Brown Rice | Lauki Curry with Brown Rice variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🌱,Non-Vegetarian,South,Moderate,2,322,337,1.9,1.0,48
Grilled Fish with Veggies (157g),Grilled Fish with Veggies | Grilled Fish with Veggies variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍛,Vegetarian,West,Moderate,1,157,227,1.5,0.6,56
Oats Upma (180g),Oats Upma | Oats Upma variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🥗,Vegetarian,South,High,4,180,191,1.1,0.4,60
Jowar Roti with Bhindi (133g),Jowar Roti with Bhindi | Jowar Roti with Bhindi variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🫓,Vegetarian,West,High,4,133,146,0.8,0.5,41
Steamed Prawns with Veggies (178g),Steamed Prawns with Veggies | Steamed Prawns with Veggies variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🫓,Vegetarian,East,High,2,178,200,1.3,0.4,36
Sprouts Salad (238g),Sprouts Salad | Sprouts Salad variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍗,Non-Vegetarian,East,High,5,238,260,2.2,0.9,40
Masoor Dal with Red Rice (299g),Masoor Dal with Red Rice | Masoor Dal with Red Rice variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🐟,Vegetarian,South,High,2,299,302,2.6,0.9,50
Grilled Chicken Salad (178g),Grilled Chicken Salad | Grilled Chicken Salad variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍲,Non-Vegetarian,South,Moderate,2,178,255,1.2,0.6,59
Mutton Soup (161g),Mutton Soup | Mutton Soup variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍲,Vegetarian,West,Low,3,161,229,1.9,0.5,65
Mixed Veg Sabzi with Chapati (149g),Mixed Veg Sabzi with Chapati | Mixed Veg Sabzi with Chapati variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🥣,Vegetarian,West,Moderate,5,149,220,1.0,0.4,53
Mixed Veg Sabzi with Chapati (158g),Mixed Veg Sabzi with Chapati | Mixed Veg Sabzi with Chapati variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍗,Vegetarian,North,Low,1,158,197,0.9,0.6,43
Grilled Fish with Veggies (186g),Grilled Fish with Veggies | Grilled Fish with Veggies variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🦐,Vegetarian,North,Low,1,186,250,1.8,0.4,50
Lauki Curry with Brown Rice (217g),Lauki Curry with Brown Rice | Lauki Curry with Brown Rice variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🐟,Vegetarian,West,High,4,217,254,1.9,0.7,65
Mutton Soup (170g),Mutton Soup | Mutton Soup variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍲,Vegetarian,East,High,1,170,193,1.7,0.7,62
Jowar Roti with Bhindi (235g),Jowar Roti with Bhindi | Jowar Roti with Bhindi variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🥗,Vegetarian,East,Low,4,235,287,1.3,0.7,49
Masoor Dal with Red Rice (340g),Masoor Dal with Red Rice | Masoor Dal with Red Rice variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🌱,Vegetarian,East,Low,1,340,453,2.3,1.2,48
Bajra Roti (124g),Bajra Roti | Bajra Roti variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🥣,Vegetarian,South,Moderate,1,124,152,1.4,0.4,58
Chicken Stew with Appam (197g),Chicken Stew with Appam | Chicken Stew with Appam variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍛,Vegetarian,North,Moderate,2,197,264,2.0,0.6,58
Steamed Prawns with Veggies (117g),Steamed Prawns with Veggies | Steamed Prawns with Veggies variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍛,Vegetarian,South,Moderate,1,117,121,1.1,0.2,65
Brown Rice with Sambar (158g),Brown Rice with Sambar | Brown Rice with Sambar variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍗,Non-Vegetarian,North,Moderate,3,158,161,1.5,0.3,58
Bajra Roti (113g),Bajra Roti | Bajra Roti variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍗,Vegetarian,South,Low,2,113,136,0.8,0.2,64
Fish Curry with Brown Rice (104g),Fish Curry with Brown Rice | Fish Curry with Brown Rice variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍲,Vegetarian,West,High,1,104,141,0.8,0.3,47
Moong Dal Khichdi (277g),Moong Dal Khichdi | Moong Dal Khichdi variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍗,Vegetarian,North,Low,5,277,374,2.7,0.7,41
Grilled Fish with Veggies (231g),Grilled Fish with Veggies | Grilled Fish with Veggies variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🥣,Vegetarian,North,High,4,231,265,1.9,0.8,46
Grilled Fish with Veggies (206g),Grilled Fish with Veggies | Grilled Fish with Veggies variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍲,Vegetarian,South,Low,5,206,296,2.5,0.6,52
Moong Dal Khichdi (149g),Moong Dal Khichdi | Moong Dal Khichdi variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🥣,Vegetarian,East,Low,1,149,168,1.0,0.5,59
Sprouts Salad (132g),Sprouts Salad | Sprouts Salad variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🦐,Non-Vegetarian,South,High,2,132,195,1.4,0.3,35
Masoor Dal with Red Rice (337g),Masoor Dal with Red Rice | Masoor Dal with Red Rice variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍛,Vegetarian,South,Moderate,5,337,461,3.8,1.2,55
Mutton Soup (219g),Mutton Soup | Mutton Soup variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🌱,Vegetarian,South,High,1,219,313,1.9,0.8,53
Lauki Curry with Brown Rice (299g),Lauki Curry with Brown Rice | Lauki Curry with Brown Rice variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍗,Non-Vegetarian,South,Low,3,299,324,3.0,0.6,41
Grilled Chicken Salad (306g),Grilled Chicken Salad | Grilled Chicken Salad variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🫓,Vegetarian,South,Low,2,306,351,1.7,1.0,50
Egg Curry with Roti (327g),Egg Curry with Roti | Egg Curry with Roti variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍛,Vegetarian,West,Low,3,327,482,2.4,1.2,44
Mixed Veg Sabzi with Chapati (102g),Mixed Veg Sabzi with Chapati | Mixed Veg Sabzi with Chapati variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍗,Vegetarian,South,Moderate,4,102,114,0.7,0.3,57
Grilled Fish with Veggies (117g),Grilled Fish with Veggies | Grilled Fish with Veggies variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍗,Vegetarian,East,Moderate,4,117,169,0.6,0.3,56
Mutton Soup (116g),Mutton Soup | Mutton Soup variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍲,Non-Vegetarian,West,Moderate,3,116,173,1.3,0.3,35
Oats Upma (119g),Oats Upma | Oats Upma variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🫓,Vegetarian,South,High,3,119,176,1.3,0.3,48
Mixed Veg Sabzi with Chapati (281g),Mixed Veg Sabzi with Chapati | Mixed Veg Sabzi with Chapati variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🌱,Vegetarian,North,Moderate,4,281,384,3.1,0.8,58
Grilled Fish with Veggies (186g),Grilled Fish with Veggies | Grilled Fish with Veggies variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🫓,Vegetarian,North,High,1,186,252,1.7,0.7,38
Lauki Curry with Brown Rice (223g),Lauki Curry with Brown Rice | Lauki Curry with Brown Rice variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🐟,Non-Vegetarian,North,High,3,223,240,2.3,0.8,43
Mixed Veg Sabzi with Chapati (141g),Mixed Veg Sabzi with Chapati | Mixed Veg Sabzi with Chapati variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🌱,Vegetarian,West,High,4,141,196,1.6,0.4,53
Chicken Tikka (334g),Chicken Tikka | Chicken Tikka variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🌱,Vegetarian,South,High,4,334,492,2.2,1.1,35
Steamed Prawns with Veggies (321g),Steamed Prawns with Veggies | Steamed Prawns with Veggies variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🥗,Vegetarian,North,High,5,321,468,2.8,1.1,63
Ragi Dosa (198g),Ragi Dosa | Ragi Dosa variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🥣,Non-Vegetarian,West,High,3,198,287,1.8,0.4,53
Fish Curry with Brown Rice (165g),Fish Curry with Brown Rice | Fish Curry with Brown Rice variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🌱,Vegetarian,East,High,1,165,247,1.2,0.6,45
